from	to	count	count_bin	log2
beach	amphipod	44	5-50	5.459431618637297
beach exposure	beach	3	1-5	1.584962500721156
beach slope	beach	2	1-5	1
beach width	beach	2	1-5	1
beetle	amphipod	16	5-50	4
beetle	beach	22	5-50	4.459431618637297
bird nest	beetle	1	1-5	0
clam	amphipod	11	5-50	3.4594316186372973
clam	beach	60	50-100	5.906890595608519
clam	beetle	4	1-5	2
dune	amphipod	2	1-5	1
dune	beach	174	100-500	7.442943495848728
dune	beetle	19	5-50	4.247927513443585
fauna	amphipod	95	50-100	6.569855608330948
fauna	beach	78	50-100	6.285402218862249
fauna	beach slope	1	1-5	0
fauna	beetle	331	100-500	8.370687406807217
fauna	bird nest	5	1-5	2.321928094887362
fauna	clam	35	5-50	5.129283016944966
fauna	dune	34	5-50	5.087462841250339
ghost crab	beach	16	5-50	4
ghost crab	clam	1	1-5	0
ghost crab	dune	2	1-5	1
ghost crab	fauna	3	1-5	1.584962500721156
intertidal	amphipod	43	5-50	5.426264754702098
intertidal	beach	281	100-500	8.134426320220927
intertidal	beach slope	1	1-5	0
intertidal	beetle	12	5-50	3.584962500721156
intertidal	clam	93	50-100	6.539158811108031
intertidal	dune	10	5-50	3.321928094887362
intertidal	fauna	105	100-500	6.714245517666122
intertidal	ghost crab	2	1-5	1
litter	amphipod	27	5-50	4.754887502163468
litter	beach	229	100-500	7.839203788096944
litter	beetle	138	100-500	7.108524456778169
litter	bird nest	2	1-5	1
litter	clam	2	1-5	1
litter	dune	34	5-50	5.087462841250339
litter	fauna	236	100-500	7.882643049361842
litter	intertidal	25	5-50	4.643856189774724
littoral	amphipod	33	5-50	5.044394119358453
littoral	beach	49	5-50	5.614709844115208
littoral	beetle	2	1-5	1
littoral	clam	13	5-50	3.700439718141092
littoral	dune	11	5-50	3.4594316186372973
littoral	fauna	63	50-100	5.977279923499917
littoral	intertidal	69	50-100	6.108524456778169
littoral	litter	22	5-50	4.459431618637297
littoral zone	amphipod	4	1-5	2
littoral zone	beach	2	1-5	1
littoral zone	dune	1	1-5	0
littoral zone	fauna	4	1-5	2
littoral zone	intertidal	4	1-5	2
littoral zone	litter	2	1-5	1
littoral zone	littoral	84	50-100	6.392317422778761
macrolitter	beach	18	5-50	4.169925001442312
macrolitter	dune	2	1-5	1
macrolitter	fauna	2	1-5	1
